title,context,price,upload_date,location,status,imgUrl,url
아이폰 12pro 128,"아이폰 12프로 128기가
배터리 효율 90%
소프트웨어 iOS 17.5
사진 속 박스랑 케이스 필름 모두 드려요!
케이블은 없습니다.
상태 최상 눈에 보이는 흠집 긁힘 모두 없어요.
성능 테스트 번인테스트 모두 했습니다
편하게 연락 주세요!",600000,2024.06.05,포항시 북구 장성동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/06cef261097b48b9b46c67729e1d5176f0513265e2ca7801e981352e87f618df.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780873466
"
[미개봉]Apple 아이폰15Pro Max 자급제 512GB 블랙티타늄 애플코리아 정품,"[미개봉]Apple 아이폰15Pro Max 자급제 512GB 블랙티타늄 애플코리아 정품입니다
지금 14프로맥스256 쓰고 있는데 15로 갈아 탈까 하고 삿다가 14를 리퍼받아서 기다렸다 16으로 갈아 타려고 판매 합니다
집앞으로 오시면 택시비 빼드려요
256GB 가격보시고 딴소리하지는 말아주세요!!
24년05월07일 택배도착했습니다
AS는 폰 활성화 날짜 기준입니다",1850000,2024.06.05,서초구 양재동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/d39caeb757c383a3cd9bb7cf8ff0b86e01b8f32d036bd22ebe8b97b2be4800a8.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780873484
"
아이폰13프로맥스 케이스 판매,"s급입니다
사진참고해서 구매 바랍니다
13프로맥스용입니다",2000,2024.06.05,동구 율하동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/28b4bee6ba27a8e78086ec4324a34d983f4a0436641c9cd5f4f2e6f394e8ba9b.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780873645
"
아이폰 13 미니 투명 케이스,13 미니 케이스입니다! 전.. 13이라..,1000,2024.06.05,천안시 서북구 쌍용3동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/328d9094afe3efa8861a50cf5e2c59cbdbcac9585c1437d7096cdc4fe912e994.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780873967
"
아이폰12 블랙 128기가(정품 케이블 새거 같이 드려요),"아이폰 12 블랙 128기가 입니다
배터리 성능 77프로
구매하시면 정품 케이블(케이블만) 새거 같이 드릴게요~!
현재 사생활보호필름 붙어있구 원하시면 떼서 드릴게요!
위 아래 찍힘 조금 있습니다ㅠ
7시 이후 정자역 직거래 가능",300000,2024.06.05,성남시 분당구 정자1동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/79a14114e9575ae911261ecb053a14620dab4e472b816b197b6306f7b558b1ee.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780874210
"
아이폰14프로 256gb 골드 풀박,"22년 9월 생산제품이고
22년 10월에 개통했습니다!
배터리 효율 85프로이고
구매하자마자 필름 및 케이스 씌우고 다녀서 상태 아주 좋아요!
정상해지 폰이며 선택약정 25%가능
기스 하나도 없어요!!!",880000,2024.06.05,전주시 완산구 효자동2가,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/0406e5d68fafecdfa60695770c7173e4a5231d70f84e21ee3f9819bd61e4835c_0.webp?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780874380
"
아이폰14프로맥스 512 자급제,아이폰14프로맥스 512 자급제 화이트,1000000,2024.06.05,연수구 송도4동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/2da997f523a2a21ce8fc5b70084f9d4315970f28b0ff2da761e5d67601bf2b2d.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780872894
"
아이폰 7 매트 블랙 공기계,"액정 파손 흰색 점 기스 까짐 많아요 작동은 다 잘 돼요 부품용 또는 사진용으로 추천드립니다
배터리 효율 79 128기가",50000,2024.06.05,동래구 명륜동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/b9b16f9a68b5005c5ee655cb4a64ce5d40122e192638ee0f912bb98930938ffc.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780872936
"
아이폰 13 미니 128g 블루,박스랑 투명케이스새거랑 쓰던 케이스 다드려요.,450000,2024.06.05,남구 대연동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/09cc1b12aded1b47d219423d14d70f739d51c76f24cb096a9706909b7998d1fa.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780873258
"
아이폰7 A급 풀박스 128Gb 96%,"긁힘,깨짐,찍힘 없습니다
케이스,액정필름 항시 사용했어요
뒷면에 카드케이스 자국이 남아있네요
현재 강화필름,실리콘 투명케이스 씌워진채로 드려요
도원역 근처",170000,2024.06.05,"미추홀구 숭의1,3동",0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/16452c70e07c8e334f137f9f2855dc6ff18fb897355ddb2317286eac47f5d0f5_7.webp?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780873264
"
