title,context,price,upload_date,location,status,imgUrl,url,condition
맥북에어 M1 특S급 16기가 램,"아주 깨끗한 스그 맥북에어 M1

램16기가. 8기가와 차이남

SSD 256

배터리 85%

애플케어 종료.

애플코리아 방문 케이스
벨킨 C TYPE HUB

박스 및 충전기 상태깨끗함 

네고 정중히 거절합니다.

직거래 평택 청북",930000,2024.06.09,경기도 평택시 청북읍,0,https://media.bunjang.co.kr/product/270854074_1_1717934170_w856.jpg,"https://m.bunjang.co.kr/products/270854074?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 없음
맥북 에어 M2 미드나잇 13인치 풀 박스,"이 제품은 맥북 에어 2022년에 출시한 M2칩이 들어간 맥 북 에어 미드 나잇 색상의 제품 입니다. 2024년 4월 17일 에 배송 받고 얼마 사용하지 않았으며 배터리 사이클 수 7회 배터리 성능 100% 입니다. 화면은 13인치 이며, 사양 은 GPU 8코어, 용량 256GB, RAM 8GB 입니다. 찍힘 생활 기스조차 전혀 없으며 케이스와 액정 보호필름을 부 착 하며 사용해서 깔끔합니다. 구성 품목은 맥북 에어, 30W 정품 어뎁터, 맥북용 맥세이프 충전기 (6번 사진참 고), 케이스티파이 맥북 케이스, 맥북 키보드 키 스킨 이렇 게 해서 맥북 상자까지 전부 같이 드립니다.",1150000,2024.06.09,-,0,https://media.bunjang.co.kr/product/270853410_1_1717934047_w856.jpg,"https://m.bunjang.co.kr/products/270853410?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 없음
맥북에어 m1 램 16 스그 풀박,"큰 기스나 찍힘 없고 깨끗히 사용 했습니다
스페이스그레이 램16 ssd 256 
사진에는 없지만 박스 충전기 케이블 전부 있습니다
배터리 사진 참고 부탁드립니다
네고 불가능 하고 직거래 미아사거리역 입니다
택배 노리턴 선입금 조건만 가능 합니다",800000,2024.06.09,-,0,https://media.bunjang.co.kr/product/270853571_1_1717934073_w856.jpg,"https://m.bunjang.co.kr/products/270853571?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 없음
맥북에어 M2 미드나잇 블루 (8G /256GB) 13인치 판매해요,"맥북에어 M2 13인치 미드나잇 블루 판매합니다
구매하고 맥북이랑 저랑 안맞아서 윈도우 노트북으로 구매하기 위해 판매합니다
사진과 같이 제한 보증 6.30일 까지입니다! 
상태, 기스,찍힘, 기능 문제 전혀 없습니다
배터리 사이클수도 12프로 밖에 안됩니다
전자제품이여서 직거래 망포역 선호합니다",980000,2024.06.09,경기도 수원시 영통구 영통2동,0,https://media.bunjang.co.kr/product/270851697_1_1717934224_w856.jpg,"https://m.bunjang.co.kr/products/270851697?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 없음
맥북 에어 M1 512GB,"맥북 에어 M1 13인치    512GB 업글 모델

구성품 : 맥북, 하드케이스, 쿠팡에서산 고속 충전기

영상 편집 해보려고 카메라랑 이것저것 샀었는데
전혀 안해서 판매합니다
배터리 성능 97%

4번째 사진 외관상에 벌어짐이 있습니다
해당부분 꼭 참고 부탁드릴게요
케이스를 끼고다녀서 그외 기스나 하자는 없네요

하드케이스는 2주전에 갈았으나 쿠팡에서 만원정도에 사시고 새거처럼 사용하세요

박스가 없는관계로 웬만하면 직거래를 원하지만
파손면책 동의하에 포장 최대한 해서 보내드릴게요",680000,2024.06.09,경기도 오산시 대원동,0,https://media.bunjang.co.kr/product/270851339_1_1717933835_w856.jpg,"https://m.bunjang.co.kr/products/270851339?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 적음
맥북에어 2017 팝니다,"맥북에어 2017 팝니다
당근에서 구매 후 노트북을 바꾸게되서 재당근합니다
각 모서리 찍힘도 있고, 잔기스도 꽤 있어서 저렴하게 판매하려합니다.

네고 가능합니다. 연락주세요.

싸이클 수 : 396",150000,2024.06.09,-,0,https://media.bunjang.co.kr/product/269641587_1_1717918734_w856.jpg,"https://m.bunjang.co.kr/products/269641587?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 많음
맥북에어 m1 스그 512 + 매직마우스,"- 배터리 효율 : 94   싸이클 : 72

- SSD : 512  램 8

- 본체 + 박스 + 충전선 구성 + 매직마우스 구성

- 미세한 기스 존재 (사진참고)

- 쿨거시 택포, 안전결제 가능",820000,2024.06.09,경상남도 창원시 마산합포구 월영동,0,https://media.bunjang.co.kr/product/262557392_1_1716366927_w856.jpg,"https://m.bunjang.co.kr/products/262557392?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 적음
맥북에어 m1 16g 256g,"상자 충전기 풀세트고 집에서만 사용했습니다.
외관상 미세한 찍힘만 존재합니다 빠르게 팔아봅니다.",780000,2024.06.09,-,0,https://media.bunjang.co.kr/product/270846981_1_1717932947_w856.jpg,"https://m.bunjang.co.kr/products/270846981?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 많음
맥북 에어 m1 (상태최상) 얼룩 잔기스x,"케이스 끼고 사용해서 잔기스 아예 없고 상태 매우 최상입니다 

구매 후 인강 용도로 몇번 사용했고 실사용 얼마 안됩니다 

잘 안쓰게 되어 판매합니다 

충전기랑 같이 드립니다 

환불 교환 x",615000,2024.06.09,충청남도 홍성군 홍성읍,0,https://media.bunjang.co.kr/product/267950565_1_1717933323_w856.jpg,"https://m.bunjang.co.kr/products/267950565?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 없음
Apple 맥북 에어 13 실버 M1 256GB 8GB,"음악 작업하려고 구매했다가 데스크탑을 사용하게 되어 가끔 유튜브 보는 용도로만 사용했습니다!

케이스 껴놔서 기스는 전혀 없고 한번 떨어트려서 왼쪽 아래 모서리만 살짝 까졌습니다 (사진 참고)

사용하는데 전혀 지장 없고 상태 최상급 맥북입니다!
배터리 사양도 100입니다

상자, 부속품 없이 맥북만 판매합니다!",665000,2024.06.09,서울특별시 서초구 잠원동,0,https://media.bunjang.co.kr/product/263396105_1_1715671841_w856.jpg,"https://m.bunjang.co.kr/products/263396105?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 적음
